Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
1.35559,1.35724,1.35723,0.00027,-0.00048,-0.004,59.95,-0.1,-0.0005,0,0,STRONGSELL
1.35677,1.35764,1.35688,0.00040,-0.00035,0.002,20.05,0,0,0,10,STRONGSELL
1.35391,1.35811,1.35662,0.00047,-0.00026,0,-60,-0.1,-0.0005,0,10,WAIT
1.35167,1.35792,1.35647,-0.00019,-0.00015,-0.002,-60,0,0,0,0,STRONGBUY
1.3528,1.35777,1.35631,-0.00015,-0.00017,-0.0005,60,-0.1,0,0,0,STRONGBUY
1.35461,1.35742,1.35624,-0.00035,-0.00007,0.006,39.95,0.1,0,0,10,STRONGBUY
1.36141,1.35720,1.35614,-0.00022,-0.00009,0.0015,120.05,0,0.0005,10,20,BUY
1.36087,1.35725,1.35621,0.00005,0.00007,-0.001,0,0,0.0005,0,10,BUY
1.36376,1.35743,1.35617,0.00018,-0.00004,0.0025,40,0,0.0005,0,10,BUY
1.36256,1.35751,1.35621,0.00008,0.00004,-0.0005,-20,0,0.0005,0,-10,STRONGBUY
1.36223,1.35747,1.35648,-0.00004,0.00027,0.0005,0,-0.1,0,0,0,STRONGBUY
1.36514,1.35760,1.35675,0.00013,0.00028,0.0005,20,0.1,0,10,-10,STRONGBUY
1.37198,1.35799,1.35712,0.00039,0.00037,0.00475,60,0,0.0005,0,0,STRONGSELL
1.3694,1.35889,1.35757,0.00090,0.00045,-0.00275,-60,0.1,0,0,0,SELL
1.36935,1.36019,1.35795,0.00130,0.00038,-0.002,0,0.1,0,0,0,STRONGSELL
1.36548,1.36118,1.35817,0.00098,0.00022,-0.002,-60,-0.1,-0.0005,-10,-10,STRONGSELL
1.36745,1.36180,1.35825,0.00062,0.00009,-0.0015,20,0,-0.0005,0,-10,STRONGSELL
1.36368,1.36277,1.35831,0.00097,0.00006,0.001,-60,0,-0.0005,0,-20,STRONGSELL
1.35613,1.36362,1.35835,0.00086,0.00004,-0.004,-160,0,-0.001,-10,-20,BUY
